C,Si,Mn,P,S,Alt,Cr,Cu,V,Nb,Mo,Ti,ModelCalculatedValue,TheoreticalSlabThickness,TheoreticalSlabWidth,TimeinFurnace(min),ActualExitTemperature,ActualRollingStartTemperature,ActualStartAfterTemperatureControl,ActualFinalRollingThickness,ActualFinalRollingTemperature,ActualTemperatureBeforeCooling,Thickness,TemperatureAfterCooling,YieldStrength,TensileStrength,Elongation,Toughness
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,829,220,1800,289.8666666666667,1205,1168,50.03,20.54,794.25,761,20.0,640,410,535,30.5,177.33333333333334
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,814,180,1400,291.8666666666667,1196,1154,50.03,20.16,811.75,763,20.0,640,375,510,30.5,206.0
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,853,250,2000,224.4666666666667,1201,1206,100.01,60.09,780.85,775,60.0,630,405,555,28.5,177.33333333333334
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,798,250,2000,110.6,1214,1207,50.0,20.08,776.63,756,20.0,640,380,530,25.0,204.66666666666666
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,867,300,2000,204.5,1200,1200,150.01,80.1,811.18,786,80.0,630,365,510,28.5,245.33333333333334
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,873,300,2400,213.3833333333333,1203,1198,150.03,80.4,759.33,780,80.0,630,360,525,29.5,192.66666666666666
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,874,300,2400,217.0,1205,1203,150.0,80.41,769.77,784,80.0,630,375,525,26.5,151.33333333333334
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,790,220,1800,277.7833333333334,1232,1229,50.0,20.46,791.98,761,20.0,640,390,525,27.5,163.66666666666666
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,825,180,1800,283.8166666666667,1232,1222,40.01,16.42,801.76,757,16.0,640,405,530,25.5,152.33333333333334
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,863,250,2400,275.6333333333333,1217,1231,120.0,60.31,799.48,776,60.0,630,410,570,24.5,152.33333333333334
0.16,0.28,1.46,0.01,0.003,0.034,0.02,0.01,0.002,0.004,0.002,0.003,850,300,2400,386.0166666666667,1207,1228,150.02,80.56,802.66,778,80.0,630,390,550,26.0,150.66666666666666
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,817,250,2000,316.0333333333334,1227,1233,50.0,20.23,794.67,755,20.0,640,390,525,27.0,134.33333333333334
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,783,180,1400,77.73333333333333,1210,1193,50.0,20.36,776.2,762,20.0,640,400,540,27.5,140.33333333333334
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,815,250,2000,140.35,1210,1197,50.0,20.22,777.09,759,20.0,640,425,540,22.0,166.0
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,804,250,2000,240.8333333333333,1206,1198,50.01,20.36,791.48,755,20.0,640,390,520,27.0,204.33333333333334
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,829,250,2000,242.1,1208,1217,50.0,20.3,799.05,753,20.0,640,410,525,31.0,222.0
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,828,220,1600,277.8666666666667,1224,1196,80.0,32.43,808.65,769,32.0,621,397,543,20.0,201.66666666666666
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,852,300,2400,300.7,1211,1162,75.0,30.05,781.17,775,30.0,624,372,550,22.5,197.33333333333334
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,850,300,2000,349.4166666666667,1194,1177,100.0,50.05,765.39,780,50.0,658,400,550,27.0,199.66666666666666
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,847,300,2000,352.3333333333333,1210,1189,120.0,60.83,763.69,797,60.0,567,421,570,21.5,145.0
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,824,250,2000,380.4166666666667,1180,1160,65.0,26.02,797.1,760,26.0,656,379,531,26.0,162.0
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,842,300,1800,242.55,1202,1177,140.03,70.23,773.28,782,70.0,649,421,569,29.5,147.66666666666666
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,847,300,1800,246.1,1190,1173,130.02,70.57,780.95,779,70.0,577,413,564,27.0,129.0
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,875,300,1800,260.4666666666666,1203,1184,140.01,70.53,823.53,810,70.0,644,372,542,29.0,182.33333333333334
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,847,300,1800,309.9833333333333,1226,1203,140.02,70.11,754.86,781,70.0,600,414,557,26.5,198.33333333333334
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,849,300,2000,313.2333333333333,1201,1184,132.01,66.22,782.04,780,66.0,574,374,535,30.0,245.0
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,812,220,1800,307.65,1229,1200,45.0,18.07,795.97,743,18.0,657,382,537,28.5,132.0
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,819,250,2000,261.4333333333333,1228,1204,45.0,18.03,774.3,741,18.0,654,391,548,27.5,181.66666666666666
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,852,300,2000,280.2166666666666,1186,1167,120.0,60.06,759.5,786,60.0,687,374,529,24.5,238.0
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,782,250,2000,354.8,1209,1190,45.0,15.02,785.34,741,15.0,647,398,561,28.5,210.0
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,837,220,1800,266.9833333333333,1222,1191,140.0,70.59,769.76,787,70.0,583,381,537,28.5,232.33333333333334
0.16,0.27,1.47,0.014,0.002,0.04,0.02,0.01,0.001,0.002,0.001,0.004,857,300,2400,350.6666666666667,1214,1174,150.0,80.05,796.74,784,80.0,617,387,531,31.0,218.33333333333334
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,797,220,1800,248.15,1199,1175,40.0,16.05,774.57,740,16.0,642,395,554,28.5,216.33333333333334
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,803,250,1800,249.8,1207,1182,40.0,16.06,794.3,744,16.0,654,375,546,26.5,183.0
0.17,0.32,1.37,0.016,0.01,0.016,0.02,0.02,0.003,0.001,0.001,0.002,800,220,1800,361.2666666666667,1209,1179,55.0,22.1,781.75,746,22.0,637,396,542,23.0,172.66666666666666
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,824,300,2000,378.4,1209,1189,50.01,20.07,806.99,759,20.0,647,380,537,25.5,207.33333333333334
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,813,220,1800,299.2833333333334,1194,1171,36.0,12.01,807.32,741,12.0,648,372,522,32.5,187.33333333333334
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,806,150,1800,275.8166666666667,1201,1155,50.0,20.16,792.18,747,20.0,659,399,554,26.0,181.66666666666666
0.16,0.28,1.46,0.01,0.003,0.034,0.02,0.01,0.002,0.004,0.002,0.003,826,220,1800,238.15,1206,1178,36.67,12.19,821.14,748,12.0,655,402,538,27.5,163.0
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,864,250,2000,260.2166666666666,1221,1196,150.03,80.55,821.81,769,80.0,572,391,560,21.0,145.0
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,837,220,1600,271.65,1198,1175,62.51,25.02,816.37,774,25.0,648,396,541,24.5,202.0
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,844,300,2000,283.85,1189,1172,74.0,37.11,802.62,789,37.0,626,375,533,29.5,165.33333333333334
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,833,300,2000,292.45,1195,1171,74.0,37.35,794.09,773,37.0,638,379,541,26.5,188.33333333333334
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,835,300,2000,294.1666666666667,1194,1178,74.0,37.2,802.23,775,37.0,609,388,547,29.5,240.66666666666666
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,850,300,1800,262.2,1194,1173,120.0,60.52,755.9,781,60.0,570,404,557,28.0,198.66666666666666
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,831,300,1800,259.9666666666666,1192,1162,96.0,48.76,727.08,756,48.0,613,390,541,29.5,163.0
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,833,300,1800,261.35,1192,1154,96.0,48.04,739.91,761,48.0,613,388,539,28.5,169.33333333333334
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,837,300,1800,260.0833333333333,1198,1161,96.0,48.81,769.68,766,48.0,627,424,559,27.0,222.0
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,860,300,1800,275.05,1200,1180,96.0,48.39,751.54,783,48.0,571,394,542,30.5,201.0
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,856,300,1800,272.6166666666667,1194,1179,95.99,48.39,769.16,782,48.0,609,387,532,27.5,161.33333333333334
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,857,300,1800,270.5,1194,1172,96.01,48.57,765.72,769,48.0,653,404,555,24.5,210.33333333333334
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,858,300,1800,270.0333333333334,1194,1171,96.01,48.56,759.42,780,48.0,638,377,534,34.0,163.66666666666666
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,860,300,1800,261.5333333333334,1184,1166,96.0,48.63,765.82,780,48.0,618,373,529,31.0,194.33333333333334
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,857,300,1800,267.95,1179,1164,96.0,48.66,748.09,763,48.0,628,371,536,34.0,170.33333333333334
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,857,250,2000,293.7,1195,1164,130.01,65.18,753.21,778,65.0,585,413,548,26.5,218.0
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,797,250,1800,301.4166666666667,1190,1169,50.0,20.07,753.91,746,20.0,653,400,555,23.5,168.33333333333334
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,839,250,2000,460.1333333333333,1203,1183,100.01,51.44,815.53,793,50.0,580,384,536,30.0,210.66666666666666
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,836,250,2000,315.5166666666667,1212,1186,80.0,32.02,789.82,763,32.0,652,398,544,28.5,136.0
0.16,0.28,1.46,0.01,0.003,0.034,0.02,0.01,0.002,0.004,0.002,0.003,805,300,2400,391.15,1187,1150,62.5,25.49,824.36,751,25.0,628,396,552,22.5,178.0
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,811,250,1800,357.9833333333333,1181,1163,80.01,32.26,788.2,762,32.0,633,410,561,29.5,225.0
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,869,250,2000,317.0666666666667,1210,1186,135.0,80.61,813.98,792,80.0,600,393,563,25.0,164.66666666666666
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,840,300,1800,325.3666666666667,1188,1169,100.02,50.03,782.36,767,50.0,600,395,546,29.5,226.0
0.17,0.32,1.37,0.016,0.01,0.016,0.02,0.02,0.003,0.001,0.001,0.002,839,250,2000,322.65,1219,1195,100.0,50.1,781.82,777,50.0,643,399,555,20.0,158.33333333333334
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,823,300,1800,311.4333333333333,1186,1169,96.0,48.14,783.74,768,48.0,649,396,549,25.0,173.66666666666666
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,857,250,2000,358.2833333333334,1217,1192,130.0,65.05,798.32,771,65.0,622,363,526,28.5,231.0
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,840,300,1800,365.6333333333333,1188,1172,96.01,48.01,816.24,788,48.0,572,387,543,28.5,141.0
0.17,0.32,1.37,0.016,0.01,0.016,0.02,0.02,0.003,0.001,0.001,0.002,872,300,2000,234.15,1195,1176,149.99,80.35,823.71,801,80.0,615,368,533,29.5,150.33333333333334
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,840,250,2000,414.85,1204,1184,100.01,50.0,769.17,775,50.0,681,397,555,23.0,176.0
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,808,300,1800,339.0666666666667,1230,1210,50.01,20.12,799.45,743,20.0,622,389,552,27.5,193.0
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,837,300,1800,337.1333333333333,1217,1194,80.01,32.41,805.03,776,32.0,640,374,540,31.0,132.66666666666666
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,842,300,2000,296.7666666666667,1206,1190,80.0,32.05,820.84,786,32.0,585,363,543,26.0,211.33333333333334
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,817,300,1800,267.7166666666666,1208,1186,80.02,32.31,795.1,756,32.0,636,380,533,30.5,206.33333333333334
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,831,250,1800,300.9333333333333,1218,1193,80.02,32.51,798.07,774,32.0,612,393,553,31.5,244.66666666666666
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,861,300,1800,321.6833333333333,1186,1165,145.01,80.05,810.93,789,80.0,594,419,562,25.5,121.33333333333333
0.16,0.27,1.47,0.014,0.002,0.04,0.02,0.01,0.001,0.002,0.001,0.004,837,300,2000,480.3333333333333,1215,1195,80.0,40.29,779.3,766,40.0,597,394,539,29.5,232.0
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,868,300,1800,486.55,1214,1182,36.0,12.29,866.01,768,12.0,652,369,516,32.0,214.66666666666666
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,856,300,1800,478.5,1197,1176,36.01,12.1,865.15,773,12.0,646,363,517,30.5,189.0
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,838,150,1800,306.7166666666666,1220,1177,72.02,36.1,799.74,764,36.0,645,402,563,26.0,206.33333333333334
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,815,150,1400,246.2,1208,1166,50.0,24.09,792.91,750,24.0,581,386,535,22.5,133.0
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,826,150,1800,296.2,1214,1172,70.02,28.22,800.55,765,28.0,660,383,530,27.5,236.66666666666666
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,811,300,1800,298.6666666666667,1200,1180,80.0,32.17,789.86,761,32.0,639,389,535,29.0,237.33333333333334
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,861,250,1800,244.8,1202,1178,100.0,50.16,822.36,804,50.0,653,371,529,27.0,237.66666666666666
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,868,250,1800,243.85,1199,1174,150.01,80.19,821.46,811,80.0,585,368,533,30.5,197.33333333333334
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,874,250,2000,241.6166666666667,1204,1185,149.99,80.03,822.28,809,80.0,591,387,549,27.5,213.0
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,865,250,2000,279.6,1212,1187,120.0,60.71,818.22,800,60.0,624,376,538,29.0,184.66666666666666
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,855,300,1800,281.8333333333333,1196,1176,150.0,80.28,811.74,799,80.0,601,401,565,29.0,226.66666666666666
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,854,300,1800,287.3833333333333,1181,1164,150.0,80.09,779.9,769,80.0,695,381,550,31.5,184.66666666666666
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,845,300,2000,276.5333333333334,1184,1169,139.99,70.85,771.97,776,70.0,668,393,547,30.0,172.66666666666666
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,843,300,2000,278.35,1185,1168,140.0,70.84,801.07,781,70.0,613,405,557,27.0,196.0
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,836,300,2400,276.1333333333333,1179,1165,120.0,60.2,759.37,774,60.0,607,392,546,26.5,175.66666666666666
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,855,300,2400,277.95,1209,1186,120.0,60.54,794.57,796,60.0,638,408,563,27.5,230.33333333333334
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,851,300,2400,271.1166666666667,1205,1182,120.0,60.16,790.79,796,60.0,615,405,554,29.0,219.0
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,855,300,2000,265.8333333333333,1196,1179,80.0,32.39,822.37,780,32.0,623,368,551,28.0,220.66666666666666
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,874,300,2400,292.5166666666667,1206,1183,140.0,70.14,795.18,804,70.0,579,369,534,28.5,161.0
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,861,300,1800,299.05,1204,1180,150.0,80.28,813.91,798,80.0,612,372,532,34.5,210.0
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,852,300,2000,307.6,1208,1187,140.0,70.2,814.22,790,70.0,586,386,551,32.0,208.66666666666666
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,790,300,1800,369.4,1183,1162,40.0,16.0,800.44,740,16.0,640,378,555,28.0,109.66666666666667
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,824,300,1800,244.4333333333333,1180,1163,40.03,16.07,819.35,752,16.0,654,379,554,28.0,118.0
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,824,300,1800,245.4333333333333,1210,1189,40.0,16.0,823.25,754,16.0,649,382,551,32.5,138.33333333333334
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,815,220,1800,244.9166666666667,1195,1171,40.0,16.18,819.87,754,16.0,646,389,548,29.0,130.33333333333334
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,833,300,2000,248.5166666666667,1212,1187,55.0,22.04,815.28,769,22.0,655,371,544,23.5,111.66666666666667
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,819,300,2000,250.55,1186,1169,55.0,22.09,797.94,752,22.0,655,382,545,23.5,152.0
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,836,300,1800,252.55,1186,1166,55.0,22.09,816.97,776,22.0,647,373,538,29.5,141.66666666666666
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,883,250,2000,277.05,1214,1189,130.0,80.01,827.77,815,80.0,579,410,562,28.0,228.0
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,847,300,1800,289.5,1215,1194,90.0,45.06,799.68,784,45.0,640,389,547,31.0,161.66666666666666
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,813,300,2000,281.5666666666667,1179,1162,80.0,32.51,786.24,760,32.0,637,407,563,22.5,227.33333333333334
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,828,250,1800,254.5,1217,1192,80.0,40.95,797.33,776,40.0,637,382,537,30.5,231.66666666666666
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,838,220,1800,304.4166666666667,1208,1183,55.0,22.36,815.88,764,22.0,638,393,540,28.5,151.33333333333334
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,785,300,2000,273.6,1197,1169,45.0,18.04,773.04,744,18.0,625,383,520,22.5,213.0
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,863,300,2000,240.6833333333333,1192,1174,80.0,32.18,793.94,774,32.0,632,405,542,28.0,148.33333333333334
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,859,300,2000,240.6666666666667,1188,1173,80.0,32.15,792.61,772,32.0,631,405,550,29.5,146.66666666666666
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,854,220,1600,306.5166666666667,1190,1168,100.0,60.42,802.34,774,60.0,586,404,552,29.0,102.0
0.16,0.27,1.47,0.014,0.002,0.04,0.02,0.01,0.001,0.002,0.001,0.004,840,300,2000,263.3166666666667,1201,1180,140.01,70.16,791.19,775,70.0,655,375,530,31.5,199.0
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,842,300,2000,252.9166666666667,1192,1172,100.0,50.08,784.12,776,50.0,649,371,550,25.0,155.0
